Lead,Importance,Std,Rank
V2,0.14236898284523608,0.21791230270745826,1
V3,0.11025890299763662,0.19003826307050262,2
V1,0.10024811784188217,0.12804549443747104,3
V5,0.09369414436880572,0.170619975206465,4
III,0.09039118943892634,0.1066814097686241,5
V4,0.07678478424176179,0.15276820170310074,6
aVL,0.07475176973045528,0.08577651122545966,7
aVF,0.07000913299804828,0.08343993934693314,8
II,0.06740589905805712,0.07934010776911919,9
V6,0.06667499506537067,0.09325265865902455,10
aVR,0.06036639418776144,0.07798425427276542,11
I,0.0470456872260583,0.05574911684700777,12
