Dataset,Subclass,Lead,Importance,Std
A,AMI,I,0.052686123572272134,0.012233627992043365
A,AMI,II,0.04734903052024752,0.007983250003043169
A,AMI,III,0.09117113392102405,0.023819700703102988
A,AMI,aVR,0.04510997524440851,0.007766397616852849
A,AMI,aVL,0.1008438196472909,0.026359008221030655
A,AMI,aVF,0.07352314806788854,0.021957813105294297
A,AMI,V1,0.15359662268166954,0.02963336376229139
A,AMI,V2,0.14409757870289328,0.040124003902505284
A,AMI,V3,0.10366784799794541,0.045224845394936014
A,AMI,V4,0.06848770813312367,0.01121309091472289
A,AMI,V5,0.07756927973448358,0.01444235066861533
A,AMI,V6,0.04189773177675273,0.008692125562268777
A,IMI,I,0.0573456625519214,0.0030938366631834764
A,IMI,II,0.04545868307059284,0.014088660715019767
A,IMI,III,0.12401869601739027,0.04564529182569312
A,IMI,aVR,0.05448273891556058,0.01785012402937983
A,IMI,aVL,0.09170419490848179,0.03141984509952462
A,IMI,aVF,0.07369721397027704,0.041738565040402
A,IMI,V1,0.14132731374484936,0.0458050410109514
A,IMI,V2,0.14522845240267895,0.06813262848527035
A,IMI,V3,0.05875304876238381,0.00885834865361229
A,IMI,V4,0.06426827705961784,0.018370398794843108
A,IMI,V5,0.0944985588984755,0.03164901615498216
A,IMI,V6,0.04921715969777059,0.011099547233216517
C,AMI,I,0.06056699532293115,0.004764093001563211
C,AMI,II,0.07474330876663464,0.015202094110073628
C,AMI,III,0.08912232870908385,0.021895945913014046
C,AMI,aVR,0.05558125894184762,0.011257362705180513
C,AMI,aVL,0.06460771561438197,0.014691200285020077
C,AMI,aVF,0.08137722667776129,0.03134061375390831
C,AMI,V1,0.1593335462527708,0.014683394296289383
C,AMI,V2,0.1412367780327942,0.03400140011761702
C,AMI,V3,0.10491323785066171,0.02164471850296582
C,AMI,V4,0.04551968701411963,0.020139790819359342
C,AMI,V5,0.06466438074123253,0.012255603340355128
C,AMI,V6,0.0583335360757807,0.012378853426728426
C,IMI,I,0.0756244651397643,0.010924262452563725
C,IMI,II,0.08392679172480083,0.023845934448619197
C,IMI,III,0.11202849869647298,0.029327662555493735
C,IMI,aVR,0.06753010629836356,0.005181688090934356
C,IMI,aVL,0.0672539087572857,0.0063145018143812
C,IMI,aVF,0.08792940662466797,0.03274040497616615
C,IMI,V1,0.14696371860063304,0.037627202068437726
C,IMI,V2,0.10019772595866464,0.03918468908742456
C,IMI,V3,0.057186264155842756,0.008632587843969091
C,IMI,V4,0.046014448493685634,0.01519164272279282
C,IMI,V5,0.08633757674170442,0.029688084640054332
C,IMI,V6,0.06900708880811426,0.017320123907359045
D,AMI,I,0.05140375045177439,0.024029709938841057
D,AMI,II,0.03661847514977813,0.008481943474370599
D,AMI,III,0.06382761608874056,0.032991110109303494
D,AMI,aVR,0.04347744850256281,0.01532699976090865
D,AMI,aVL,0.06687456167840278,0.03639058695639076
D,AMI,aVF,0.03991368293444321,0.015981745223676593
D,AMI,V1,0.160508863445143,0.05482043777442396
D,AMI,V2,0.18360380206012653,0.0668600674558463
D,AMI,V3,0.11056166074774865,0.027779677256381943
D,AMI,V4,0.06794370615652859,0.03600787215106505
D,AMI,V5,0.09663326618088018,0.023686340107622977
D,AMI,V6,0.07863316660387112,0.02775140347498457
D,IMI,I,0.05573879388619921,0.017715746180781373
D,IMI,II,0.038914206869647125,0.015742239939657798
D,IMI,III,0.0991555102893545,0.054933193872291695
D,IMI,aVR,0.045619163164025436,0.014099422368868648
D,IMI,aVL,0.10823047841662344,0.06340779404731078
D,IMI,aVF,0.052113105714980325,0.023762841842901092
D,IMI,V1,0.1294468332555291,0.023369267568529892
D,IMI,V2,0.14624792889669605,0.06088152697028288
D,IMI,V3,0.07966156582466621,0.012327282664045642
D,IMI,V4,0.04702918146769674,0.016233502348691878
D,IMI,V5,0.1035024971022862,0.023617715949033374
D,IMI,V6,0.09434073511229579,0.055939664069309794
