Lead,Importance,Std
V2,0.11497236820889191,0.18713570991113954
III,0.09732558435448099,0.16042553686960273
aVR,0.09459087160733305,0.14696041348916933
aVF,0.08667210642592191,0.14718589752704264
II,0.08544842045982831,0.13477025447829916
V6,0.08303459842450986,0.14838343039394655
V1,0.08227562474614351,0.13324520490804084
I,0.07767236619247245,0.12362155160078635
aVL,0.07619668328380806,0.12126581288349095
V3,0.07213912532488757,0.11357901614432471
V4,0.0675264049849558,0.10873291120315398
V5,0.062145845986766604,0.10866034764596771
